symbol,t_stat
APOA1,17.157717384840414
TMEM245,13.549203026497812
SEPT7,12.763354752737731
MAPRE2,12.430528716598296
TBCD,12.104558753627696
POLR2C,10.954724704044589
NDUFA9,10.731043091175444
NAA15,10.506417842799879
CLPB,10.501487193786978
HEMGN,10.319595693736074
YWHAZ,10.264986575142487
GRHPR,10.19275287107965
A2M,10.105521656826024
HSP90AA1,10.06759611253459
PON3,9.798015363541065
PYGL,9.795340359357395
RRM1,9.792638329922848
UROC1,9.768633030827337
SQRDL,9.7404580323905
GDI2;GDI1,9.711241419916739
SPTAN1,9.631447224620514
AKR1D1,9.609694992952624
ARPC3,9.587308477229918
PSMD2,9.56871692793754
PHB2,9.501965168598062
TARS,9.39256137719106
RRAGC,9.354668684735753
SORL1,9.275005895711844
PSMA4,9.051742251325479
PITRM1,8.985544170394006
FAF2,8.960069712279118
DDX1,8.873859432693168
ELAVL1,8.82184490343151
MYH9,8.81662804313452
RRBP1,8.803283728816783
LMF2,8.63202189478148
CCT7,8.621928121683693
NNT,8.598675420432878
MIA2,8.480560265656473
HSP90AB1,8.472089912016598
TF,8.430498389668431
ATP5J2,8.396431324011933
PPOX,8.325931307167656
SKP1,8.325572529337046
UCHL3,8.31071418939504
PABPC4,8.29234331831603
THEM6,8.234239638306619
POLR2A,8.231257921722602
ILF3,8.19484850760692
PBLD,8.167542491228744
SMARCA5;SMARCA1,8.163727883089152
CBX3,8.093535556179628
HAT1,8.062251283315058
ACSS1,8.006584233071404
CHKB,7.889466824457179
RPS26;RPS26P11,7.887201652747681
RHOA;RHOC,7.837968826825045
NCBP1,7.834623014573369
GSTA1;GSTA3;GSTA5;GSTA2,7.828587662471238
SLC25A11,7.823678785918613
HSP90B1,7.807733604146992
MCU,7.795808711937625
PPP3CA,7.776702384831928
HUWE1,7.7650994498278445
PREP,7.764697022157204
ZYX,7.744880952584407
GOLM1,7.711431882029065
EHD3,7.699507065113055
ACO2,7.698855040606588
PSMC3,7.6671102040948
ATP2B1;ATP2B4,7.664584947787742
NDUFA6,7.660676225179569
RPL8,7.623703748939313
NRD1,7.613905835060886
SRPR,7.587491023015629
WDR4,7.5843493461064355
STT3A,7.533339689915758
EIF3A,7.529535451133275
ANK1,7.524628668678057
TTC37,7.450201452838679
CISD1,7.435489974070586
ATP1A1;ATP1A3,7.4164344984114035
TPT1,7.400582545541489
MRPL47,7.358110693848294
AKAP8L,7.326532114443903
UGT2A3,7.3182557184891435
PPAN-P2RY11;PPAN,7.307739981574539
PSMD10,7.278072823163248
ALG2,7.2765065367323025
CCT8,7.274111983759186
THG1L,7.235350571623899
COPS4,7.233935628212578
MYO6,7.20354441973718
NOP58,7.194869098583262
LRPPRC,7.192327767429524
XRCC6,7.180206726545335
NT5C2,7.134654350217264
VIM,7.130754765429347
SARDH,7.113363510376086
PCYOX1,7.086354677831548
RPS29,7.074865011851703
MAN2A1,7.064757759193792
NDRG1,7.063544490046203
HYOU1,7.062107334487007
FBXO3,7.027497190311707
ALDH3A2,7.023845167714999
CAPZB,7.021472019130227
ACOT7,7.010731216128971
ITGB2,6.970354951703252
DLAT,6.952858039366316
MOGS,6.904109465332532
MRPS31,6.903321833795895
RGN,6.899470103660038
CPT1A,6.873747423127848
CASC3,6.860032081681649
PTGFRN,6.856945716596479
AGO2,6.84117029004886
GLUD1,6.798635358084927
GBF1,6.784866114254394
