identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,symbol
ATPAF1~I3L448,-2.3253448731361104,14.052506690985004,-13.366926765282924,8.127482928412235e-17,1.9465321613547305e-13,27.79723297683292,ATPAF1
PSMG3~Q9BT73,-1.700000800230118,13.478558780779714,-12.305398257830689,1.3491793150664332e-15,1.6156422297920538e-12,25.146587919410017,PSMG3
GSTT2B~Q6ICJ4,-0.4992212927520665,16.124411270472223,-9.293674158448274,8.538869452327196e-12,6.816864112774544e-9,16.766996664429406,GSTT2B
ACOX2~Q99424,0.28394298182801236,17.26407802383978,9.140552209815523,1.3739854595715995e-11,8.226737939184952e-9,16.30765160445436,ACOX2
OPA1~O60313-10,-1.590501016931757,13.756799767402352,-9.027199761331085,1.9574366509370874e-11,9.37612155798865e-9,15.965685208304372,OPA1
C7orf50~C9JQV0,-1.8406186559304114,14.069835683270284,-8.587857115512934,7.825158312386788e-11,3.123542359694393e-8,14.625326863969192,C7ORF50
FDX1~P10109,-3.247746089395994,15.500999333403978,-8.55004337433729,9.262945688742789e-11,3.1692507035055686e-8,14.464184517460122,FDX1
NDUFV3~P56181-2,0.6359280435215187,15.291016461307885,8.208463465391969,2.633431549239317e-10,7.0765639266404e-8,13.449867124463452,NDUFV3
PTGFRN~Q9P2B2,2.036940847554206,12.89656988502552,8.205431669719653,2.659251579948376e-10,7.0765639266404e-8,13.44041090569134,PTGFRN
HGD~Q93099,-1.7999632845964992,13.672206664943015,-8.154604475235937,3.132252684796489e-10,7.104138587268152e-8,13.281737534791127,HGD
RRM1~P23921,1.670558797041215,12.814806415617856,8.141933192951925,3.2628611465532224e-10,7.104138587268152e-8,13.242138462165766,RRM1
OSBP~P22059,0.5452320035789509,15.404998069879095,7.7966055808931705,9.99160614505951e-10,1.9941580597847938e-7,12.15685398888004,OSBP
ATL3~Q6DD88,-0.2898495387638178,16.592077483706767,-7.7326475587539525,1.2307288725681117e-9,2.2673812690774058e-7,11.954625769871875,ATL3
THEM6~Q8WUY1,1.9876049233648203,13.105138510446295,7.683287903821968,1.4458688664735663e-9,2.386637900961459e-7,11.798311694068822,THEM6
DYNLRB1~Q9NP97,-2.959150767544214,14.149848789639325,-7.673106133233643,1.4947627772201205e-9,2.386637900961459e-7,11.766041720432742,DYNLRB1
