symbol,t_stat
ACOX2,9.140552209815523
NDUFV3,8.208463465391969
PTGFRN,8.205431669719653
RRM1,8.141933192951925
OSBP,7.7966055808931705
THEM6,7.683287903821968
DDX39A,7.630215274528935
LUM,7.525840494335096
ALDH1B1,7.437546455743327
CA3,7.429741562185608
PMM2,7.34298209652717
CALU,7.327140068405571
MRPL50,7.24894014793831
ATP6V0A1,7.157615218081165
IQGAP1,7.115166035708882
APMAP,6.9860446726761385
XYLB,6.907613044282556
LMF2,6.868720774648705
AKR1B1,6.7862620499772195
GLRX5,6.73092268218786
DDX50,6.714593696964333
NDUFB4,6.698005646520095
TMEM245,6.696682267251461
PLAA,6.6795141218488165
UQCRQ,6.658907640200779
SAMHD1,6.630803486888841
PRMT5,6.608525417590041
SORD,6.512331013503504
MTR,6.440460937928469
COPS3,6.363167068785444
CTSB,6.356937296891933
NDUFA10,6.317771535823701
PSMC5,6.310218141056082
RPLP2,6.295708386583085
PPA1,6.2870763836995485
EIPR1,6.2793172240446475
CALR,6.266639406374742
YBX1,6.236338194455308
TBL1XR1,6.205498293123275
GALNT2,6.20131504021276
PAFAH1B3,6.2011594779326344
MPST,6.189110575206323
ME1,6.142499514960126
NONE,6.136058934404762
NDRG1,6.132503893802381
HMOX2,6.131229139690087
MRPS33,6.08791670062528
MYH10,6.080165379024862
ERMP1,6.029656034319304
GSTZ1,6.008459574711271
FUCA2,5.983046638701597
DGLUCY,5.977842787280731
AGO1,5.976119991196959
HSPB1,5.938763375713721
CNDP2,5.914077538497419
RRAS,5.912065266874381
C6ORF120,5.905673398018303
AP2S1,5.902653809882223
CES2,5.879795378215224
MRPL21,5.865933494117554
ACSS1,5.8416953783380565
RPS15,5.826570339924008
HSPH1,5.822104134969852
SDCBP,5.790966921825614
DNPH1,5.782975287104007
H1-0,5.7645003339247465
GOLIM4,5.716395626363652
HSPA9,5.705726611928835
MRPL3,5.686133925224782
B2M,5.657163061519952
TPT1,5.657059396831112
MRPL40,5.647207028298694
SKIC2,5.637125025554429
ADI1,5.624767172526508
KARS1,5.6053151404204975
RO60,5.594584061233787
CAVIN2,5.534479807162705
PDIA5,5.5234465769667915
RFC3,5.518366021369514
IGF2R,5.491856633243321
ABCC2,5.484101131870355
STX12,5.460516214674934
CDS2,5.430055998903834
SLC2A2,5.429833733947648
MTDH,5.416888089423009
PSMC6,5.395618779512718
ELP1,5.3778801484794725
AKR1D1,5.365403013666545
SCLY,5.256751743068686
HDHD3,5.244500791291116
ATP6V1E1,5.243623614231782
PSMD13,5.219922967589768
SLC25A10,5.2140019315635895
EBP,5.20394749722318
PRKDC,5.1979532755464195
MRPL13,5.1958919213884025
NT5DC2,5.191605338385556
CUL2,5.189507199531395
PGM3,5.175331297405
SET,5.173911214689191
TANGO2,5.173351665697124
PHPT1,5.1459345843802335
LMAN1,5.144712431253101
FCER1G,5.137531736970831
NUDT16L1,5.126919835898581
CUL1,5.116698328959625
HECTD1,5.112527491114892
NASP,5.095768818954157
SDHB,5.083699117935943
LLGL1,5.063929865554785
POLR2B,5.063586035357136
MRPL58,5.061064136383333
VIL1,5.045921215345466
EPB41L2,5.033850833254062
SNAP23,5.016344648540325
PSMA2,4.999583355960809
MCM5,4.981959402786164
TBC1D13,4.975932505856812
PCYOX1,4.9741802760318246
STT3A,4.974090800884812
NCEH1,4.960160852643468
APOE,4.956448505336964
ELOC,4.953079027858949
FADS1,4.938241335368734
RUVBL1,4.9351843671870625
BCAP31,4.93336683613007
PRMT1,4.932717378200577
PSMD3,4.915844157360745
DUS3L,4.9154219539455815
BCS1L,4.9141543902078215
FBXO3,4.888389846256796
PAH,4.886358684505237
FAM120A,4.8672987959807354
XPO7,4.864366319916595
ATP5MF,4.859749518625947
SERPINA1,4.855888291000497
HLA-B,4.85243727141568
RPL36AL,4.847173999069983
NPM1,4.829010645488744
PGRMC1,4.828595796845352
CBX3,4.823250325103275
UGT2A3,4.81073886644325
XPO1,4.799753251701934
EPB41L3,4.796032917620418
PARK7,4.781614109065428
NDUFA12,4.780072296805052
TM9SF4,4.756656729324657
CSNK2A1,4.734973167315365
GBF1,4.728517388484457
AKR1C2,4.714694183140095
PSMD2,4.712877581033658
SAMM50,4.7014127637833205
NACA,4.697989748465375
SDHAF2,4.680681173332193
USP24,4.676137936793612
RAB1A,4.672167054160971
IDH3B,4.6563375848284245
IVNS1ABP,4.640080204980507
MCFD2,4.620503530602568
TRAM1,4.609086253141104
IARS2,4.5989781957873985
TRMT6,4.597606997518168
IMPDH2,4.592634966289137
UQCRB,4.58999902082203
TKFC,4.576324937485219
ATP6V1A,4.563157052307934
ATG3,4.557586851358127
SSB,4.557442713344883
NLN,4.552407715397884
EEF1D,4.546429371900169
GYS1,4.537824731233817
ATP2A2,4.527605703602935
PCCA,4.500922736718173
USP47,4.49259263319838
RPS16,4.491710196226385
AGXT2,4.490184936974865
TOMM70,4.485014537281187
TFR2,4.47636815507535
LCP1,4.471947979521069
HNRNPR,4.4715810362403285
SLFN14,4.451698766795855
CAPZB,4.441348075066063
XPNPEP1,4.43248181913363
EMC7,4.425494053895613
EML4,4.412504793365283
COPS7A,4.398604239773534
RAB11A,4.390796457167211
GMPR2,4.386505693499075
GK,4.3815811473517625
MRPS7,4.352028351775443
ACAD9,4.332106997264124
PSMD7,4.33069113984604
MRPL27,4.327329994875969
EIF2S1,4.3210249340404205
ANXA11,4.318358061036676
NRDC,4.302246337466089
DHX9,4.301907520218074
HMGB1,4.296666741357654
DCPS,4.2958718978864
PTGR1,4.294559770851423
SLC38A4,4.286237928454192
KEL,4.285837319868038
PDHX,4.2820803883286045
GMPPA,4.280601713946611
UCHL1,4.271696071173638
FAHD2A,4.268380711430646
SCFD1,4.2641162746915615
