pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_ANDROGEN_RESPONSE,0.017188799556418076,0.3739084413866102,0.5229656300961139,1.6051839860796597,123,25,
HALLMARK_ESTROGEN_RESPONSE_LATE,0.020772691188145013,0.3739084413866102,0.46665521996713366,1.5505735874819209,156,36,
HALLMARK_KRAS_SIGNALING_UP,0.059645039278440504,0.6951907576571736,0.5266963185091139,1.4452558922909098,409,16,
HALLMARK_APOPTOSIS,0.07724341751746373,0.6951907576571736,0.4219510105748135,1.3764610187951,574,33,
HALLMARK_MYC_TARGETS_V2,0.11256323777403035,0.8104553119730186,0.4480226437969043,1.3348130066737427,800,22,
HALLMARK_XENOBIOTIC_METABOLISM,0.18096182449181952,0.8160724391624221,0.3285761358145911,1.2026255405461568,1459,62,
HALLMARK_MITOTIC_SPINDLE,0.1973401397098334,0.8160724391624221,0.37159284520114294,1.2121859018319552,1468,33,
HALLMARK_PROTEIN_SECRETION,0.22554241912433415,0.8160724391624221,0.34239446487230146,1.1772115521690272,1735,43,
HALLMARK_G2M_CHECKPOINT,0.23043818466353677,0.8160724391624221,0.34252230092083524,1.1714392723536586,1766,42,
HALLMARK_GLYCOLYSIS,0.25414085219370336,0.8160724391624221,0.32297880190349965,1.146809456894786,2009,51,
HALLMARK_DNA_REPAIR,0.262523952915412,0.8160724391624221,0.3708001538028677,1.157737698470452,1917,27,
HALLMARK_APICAL_JUNCTION,0.3107035313441007,0.8160724391624221,0.3572835530285864,1.1155352395149472,2269,27,
HALLMARK_MYC_TARGETS_V1,0.34283139993242484,0.8160724391624221,0.2622232379428069,1.0664578421070243,3043,128,
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3515386747990019,0.8160724391624221,0.35265052573829886,1.0824209929315136,2535,25,
HALLMARK_FATTY_ACID_METABOLISM,0.3842085844299594,0.8160724391624221,0.28262635900327315,1.0486161567806713,3123,67,
HALLMARK_IL2_STAT5_SIGNALING,0.38881157806846645,0.8160724391624221,0.3462542093004784,1.05345616082399,2793,24,
HALLMARK_MTORC1_SIGNALING,0.4173954147955566,0.8160724391624221,0.26780306810131216,1.032806912893136,3531,87,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4509883017345704,0.8160724391624221,0.3110470444899487,1.0093163304344877,3353,32,
HALLMARK_COMPLEMENT,0.4773849232821881,0.8160724391624221,0.30174141054167747,0.9909691976570263,3577,34,
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.49165120593692024,0.8160724391624221,0.3422616048089838,0.9824129162453118,3444,19,
HALLMARK_P53_PATHWAY,0.4982068965517241,0.8160724391624221,0.3165002574338729,0.9793992788681223,3611,26,
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.5135360266555602,0.8160724391624221,-0.24069630674455622,-0.9641036416624078,1232,39,
HALLMARK_E2F_TARGETS,0.5462453626711015,0.8160724391624221,0.27128288763844655,0.9494044017270233,4269,47,
HALLMARK_ALLOGRAFT_REJECTION,0.572372119168072,0.8160724391624221,0.3119317312933304,0.929351535886529,4072,22,
HALLMARK_COAGULATION,0.5903798170224563,0.8160724391624221,0.2977696669625849,0.9139703901014864,4258,25,
HALLMARK_HEME_METABOLISM,0.6035047907211296,0.8160724391624221,0.25687521644844813,0.9176384926318891,4786,53,
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.6120543293718166,0.8160724391624221,0.3051901348135383,0.8982304060602297,4325,21,
HALLMARK_PEROXISOME,0.6473670069854917,0.8323290089813464,0.2717346868177162,0.8864351417230787,4818,33,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.6823596142938173,0.832735607388432,0.2912168105254623,0.847637332221994,4811,20,
HALLMARK_BILE_ACID_METABOLISM,0.69394633949036,0.832735607388432,0.26434406412290684,0.8514116679741809,5146,31,
HALLMARK_HYPOXIA,0.7836940645332625,0.9100963330063694,0.24027873076980777,0.7942467639334975,5901,35,
HALLMARK_UV_RESPONSE_UP,0.8378378378378378,0.9425675675675675,0.23110581832748744,0.7499151032888102,6230,32,
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.8772448283700841,0.9569943582219098,0.19472754928163666,0.782689817808645,7717,117,
HALLMARK_MYOGENESIS,0.9576734811402245,0.9795361527967258,0.20457128071989983,0.5787436340717399,6651,18,
HALLMARK_ADIPOGENESIS,0.9598517603458925,0.9795361527967258,-0.16037066047168352,-0.7473752094457325,1553,80,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.9795361527967258,0.9795361527967258,0.17875152020922658,0.5624925329362901,7179,28,
