identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
RPS13~J3KMX5,5.693572649503918,9.92049191893819,9.245797585951266,1.5936986962926706e-10,1.5220441037622303e-7,14.032900578230432,RPS13,RPS13
TPM4~P67936,1.5597236724514065,13.621688923799573,8.869287349198823,4.1737221322950605e-10,1.5220441037622303e-7,13.107876075674444,TPM4,TPM4
HSPB1~A0A6Q8PF43,5.770137900431918,10.015051454480163,8.818329736355269,4.76134756129999e-10,1.5220441037622303e-7,12.981134650305194,HSPB1,HSPB1
HSP90AB1~P08238,2.7309999740138053,12.712045746827044,8.44579199273636,1.2600338139518755e-9,3.0209310689496217e-7,12.043506366971656,HSP90AB1,HSP90AB1
ACTB~P60709,1.4620037973610707,18.666423674370495,8.234922452410839,2.203102592068256e-9,4.2255507715869155e-7,11.504284127818583,ACTB,ACTB
ALDOA~J3KPS3,1.8361735579359504,14.82093509271951,7.907734985606526,5.300459217032853e-9,8.47190064855751e-7,10.655818348831044,ALDOA,ALDOA
HSP90AA1~P07900,1.305336085624523,13.130366362393671,7.849314574177183,6.208560425718036e-9,8.50572778323371e-7,10.502848775121723,HSP90AA1,HSP90AA1
EIF1~K7EM18,5.149478547086416,9.505688528075812,7.579774025100356,1.294608847757427e-8,1.5519123562492158e-6,9.791490461536199,EIF1,EIF1
HSPA8~P11142,1.9428227724580722,12.46491429623601,7.511770416398789,1.5604085861418666e-8,1.6627020379000556e-6,9.610603699257883,HSPA8,HSPA8
P4HB~A0A7P0T9K9,1.5844488460580468,13.13146342175288,7.364087028324528,2.3450095220532293e-08,2.0858165048275628e-6,9.215876055324635,P4HB,P4HB
EIF5A~I3L397,1.273692546546135,13.296983725677814,7.3568421708589335,2.3924902557980386e-8,2.0858165048275628e-6,9.19644641725392,EIF5A,EIF5A
TAGLN2~P37802,2.43261128510615,12.528770430884427,7.183270124884238,3.873981725874157e-8,3.0959570625944308e-6,8.729170680808487,TAGLN2,TAGLN2
RPS7~A0A2R8Y623,2.164767697842475,12.089803349125333,7.146389880779156,4.2934893388912375e-8,3.1672740584589977e-6,8.629453732149997,RPS7,RPS7
CALR~P27797,1.9298848490767195,12.417352643190668,7.1180902971912134,4.646392920954189e-8,3.1827791508536193e-6,8.55283729623508,CALR,CALR
RPL12~P30050,1.6956705473466922,12.882084731285106,6.8670304668734605,9.397140996494908e-8,6.007905477092411e-6,7.869475464230505,RPL12,RPL12
