symbol,t_stat
RPS13,9.245797585951266
TPM4,8.869287349198823
HSPB1,8.818329736355269
HSP90AB1,8.44579199273636
ACTB,8.234922452410839
ALDOA,7.907734985606526
HSP90AA1,7.849314574177183
EIF1,7.579774025100356
HSPA8,7.511770416398789
P4HB,7.364087028324528
EIF5A,7.3568421708589335
TAGLN2,7.183270124884238
RPS7,7.146389880779156
CALR,7.1180902971912134
RPL12,6.8670304668734605
LBP,6.8290123525894675
TUBA1B,6.780131580352605
PSMA6,6.768129025573617
MYH10,6.7525141400607165
DDX39B,6.744655463126136
CALM1,6.7322652912930705
VCL,6.6024114191871695
PPIA,6.475133355771602
LGALSL,6.464418848863213
EEF1A1,6.340062652044028
H4C9,6.19346933498671
PDLIM1,6.041986857470896
RPL23A,6.033304227518064
GAPDH,5.980590036870926
COX4I1,5.935370601130571
TMOD3,5.9180520115322315
MYO1B,5.776194206503976
PTGES3,5.750458579505195
MYH9,5.745906294178272
PRDX3,5.741915922791445
RPL10A,5.734201969940297
EIF3H,5.650755029703635
MDH1,5.635032053259516
MSN,5.519064432777493
PKM,5.511420066804682
YWHAZ,5.488514965730305
CAV1,5.447856192745815
ACTR2,5.4050532575294286
ACTN1,5.378639787856524
SH3BGRL3,5.371209646148378
IQGAP1,5.364117652657101
MYH14,5.326411855805531
SPTBN1,5.3239983777878415
RPS18,5.307947485816169
MYL12A,5.293425191158438
MCM2,5.206310699469653
YWHAE,5.1816916564640225
PRKCSH,5.137272554018733
TPT1,5.102146092685485
PPP2R1A,5.0956072014740155
PRDX4,5.069552550474046
ACTR3,4.9992432630130255
VCP,4.999215824097474
PPA1,4.983734287031134
RAB11A,4.907955508769573
IGHV1-3,4.896652217316168
TMSB4X,4.889895394819798
EIF4A1,4.8726714871285814
GSTO1,4.836578069590746
PARVB,4.763271040767309
CKB,4.751256939239335
MAT2A,4.748091329739483
CLIC1,4.709549938835665
ACTBL2,4.698042656410648
TPM2,4.643029580489412
CLTC,4.568629767664027
SOD1,4.558395440212836
HSP90B1,4.547061209196712
MYL9,4.542711314822975
HSPA1B,4.517801923150312
SRSF1,4.515695046270188
CPS1,4.483894814174567
HSPA5,4.457265338020019
ACTN4,4.432730237040249
YWHAG,4.406336456295415
UBB,4.3622690543520966
NPM1,4.361407896595581
ATP5F1B,4.337465090269445
ANXA2P2,4.334045237508657
HSPA7,4.333889649031561
SNCA,4.287932757512139
TPI1,4.264063820232714
RPL5,4.223369986977507
RAP1B,4.187962099705633
IGKV1-17,4.182375357248361
MDH2,4.149425950276655
F5,4.094624450053205
EEF2,4.093091652457837
ATP5F1A,4.067054989731459
TMSB10,4.034892037604718
TPM3,4.01625050089949
RPL32,3.972065398740799
